214001, 87, 90, 94, 90
214002, 84, 93, 87, 93
214003, 72, 78, 82, 87
214004, 95, 88, 98, 69
214005, 94, 84, 93, 95
214006, 87, 78, 94, 90
214007, 78, 85, 70, 71
214008, 98, 96, 88, 70
214009, 95, 84, 85, 88
214010, 90, 78, 96, 85
214011, 94, 85, 78, 84
214012, 76, 71, 76, 72
214013, 71, 70, 71, 90
214014, 72, 78, 82, 87
214015, 69, 76, 72, 84
214016, 78, 71, 69, 82
214017, 98, 70, 78, 72
214018, 82, 71, 76, 94
214019, 72, 70, 71, 78
214020, 98, 96, 88, 70
214021, 95, 84, 85, 88
214022, 93, 72, 84, 96
214023, 94, 85, 78, 84
